<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;5;20180904;161000;106700.0000000;106700.0000000;106700.0000000;106700.0000000;1
SPFB.RTS-12.18;5;20180904;162000;106700.0000000;106700.0000000;106700.0000000;106700.0000000;1
SPFB.RTS-12.18;5;20180904;162500;106590.0000000;106590.0000000;106510.0000000;106550.0000000;11
SPFB.RTS-12.18;5;20180904;163000;106500.0000000;106570.0000000;106500.0000000;106540.0000000;8
SPFB.RTS-12.18;5;20180904;163500;106500.0000000;106500.0000000;106430.0000000;106500.0000000;7
SPFB.RTS-12.18;5;20180904;164000;106540.0000000;106540.0000000;106460.0000000;106460.0000000;32
SPFB.RTS-12.18;5;20180904;164500;106400.0000000;106450.0000000;106400.0000000;106450.0000000;7
SPFB.RTS-12.18;5;20180904;165000;106480.0000000;106500.0000000;106480.0000000;106500.0000000;4
SPFB.RTS-12.18;5;20180904;165500;106410.0000000;106410.0000000;106400.0000000;106400.0000000;46
SPFB.RTS-12.18;5;20180904;170000;106550.0000000;106550.0000000;106550.0000000;106550.0000000;1
SPFB.RTS-12.18;5;20180904;170500;106550.0000000;106550.0000000;106500.0000000;106500.0000000;2
SPFB.RTS-12.18;5;20180904;171000;106700.0000000;106700.0000000;106700.0000000;106700.0000000;19
SPFB.RTS-12.18;5;20180904;171500;106700.0000000;106700.0000000;106700.0000000;106700.0000000;9
SPFB.RTS-12.18;5;20180904;172000;106780.0000000;106790.0000000;106650.0000000;106680.0000000;7
SPFB.RTS-12.18;5;20180904;172500;106850.0000000;107040.0000000;106850.0000000;107020.0000000;9
SPFB.RTS-12.18;5;20180904;173000;107000.0000000;107000.0000000;106900.0000000;106900.0000000;32
SPFB.RTS-12.18;5;20180904;173500;106950.0000000;107000.0000000;106950.0000000;107000.0000000;20
SPFB.RTS-12.18;5;20180904;174000;106850.0000000;106850.0000000;106850.0000000;106850.0000000;1
SPFB.RTS-12.18;5;20180904;174500;106750.0000000;106750.0000000;106750.0000000;106750.0000000;1
SPFB.RTS-12.18;5;20180904;175000;106740.0000000;106850.0000000;106700.0000000;106850.0000000;5
SPFB.RTS-12.18;5;20180904;175500;106840.0000000;106840.0000000;106840.0000000;106840.0000000;2
SPFB.RTS-12.18;5;20180904;180000;107000.0000000;107070.0000000;106970.0000000;107020.0000000;5
SPFB.RTS-12.18;5;20180904;180500;107090.0000000;107090.0000000;106980.0000000;106980.0000000;6
SPFB.RTS-12.18;5;20180904;181500;106900.0000000;106900.0000000;106810.0000000;106810.0000000;9
SPFB.RTS-12.18;5;20180904;182500;106770.0000000;107000.0000000;106770.0000000;107000.0000000;18
SPFB.RTS-12.18;5;20180904;183000;106960.0000000;106960.0000000;106960.0000000;106960.0000000;1
SPFB.RTS-12.18;5;20180904;184000;106930.0000000;106930.0000000;106880.0000000;106900.0000000;3
SPFB.RTS-12.18;5;20180904;184500;106850.0000000;106950.0000000;106850.0000000;106950.0000000;4
SPFB.RTS-12.18;5;20180904;190500;106940.0000000;106940.0000000;106940.0000000;106940.0000000;1
SPFB.RTS-12.18;5;20180904;191000;106820.0000000;106890.0000000;106820.0000000;106890.0000000;4
SPFB.RTS-12.18;5;20180904;194500;106920.0000000;106950.0000000;106890.0000000;106950.0000000;8
SPFB.RTS-12.18;5;20180904;200500;107000.0000000;107000.0000000;107000.0000000;107000.0000000;1
SPFB.RTS-12.18;5;20180904;201000;106990.0000000;106990.0000000;106990.0000000;106990.0000000;1
SPFB.RTS-12.18;5;20180904;202000;106950.0000000;106950.0000000;106860.0000000;106860.0000000;4
SPFB.RTS-12.18;5;20180904;203000;106910.0000000;106910.0000000;106910.0000000;106910.0000000;1
SPFB.RTS-12.18;5;20180904;204000;106950.0000000;106950.0000000;106950.0000000;106950.0000000;1
SPFB.RTS-12.18;5;20180904;205000;106950.0000000;106950.0000000;106870.0000000;106870.0000000;4
SPFB.RTS-12.18;5;20180904;210000;106920.0000000;106920.0000000;106910.0000000;106910.0000000;5
SPFB.RTS-12.18;5;20180904;211000;106940.0000000;106940.0000000;106940.0000000;106940.0000000;2
SPFB.RTS-12.18;5;20180904;212000;107050.0000000;107050.0000000;107050.0000000;107050.0000000;1
SPFB.RTS-12.18;5;20180904;212500;106940.0000000;106940.0000000;106940.0000000;106940.0000000;5
SPFB.RTS-12.18;5;20180904;214000;106850.0000000;106850.0000000;106850.0000000;106850.0000000;1
SPFB.RTS-12.18;5;20180904;214500;106840.0000000;106840.0000000;106750.0000000;106750.0000000;6
SPFB.RTS-12.18;5;20180904;215000;106820.0000000;106820.0000000;106800.0000000;106800.0000000;3
SPFB.RTS-12.18;5;20180904;215500;106730.0000000;106730.0000000;106730.0000000;106730.0000000;1
SPFB.RTS-12.18;5;20180904;220000;106770.0000000;106770.0000000;106770.0000000;106770.0000000;1
SPFB.RTS-12.18;5;20180904;220500;106780.0000000;106780.0000000;106780.0000000;106780.0000000;1
SPFB.RTS-12.18;5;20180904;221500;106750.0000000;106750.0000000;106660.0000000;106660.0000000;18
SPFB.RTS-12.18;5;20180904;222000;106660.0000000;106660.0000000;106660.0000000;106660.0000000;1
SPFB.RTS-12.18;5;20180904;222500;106630.0000000;106630.0000000;106550.0000000;106550.0000000;2
SPFB.RTS-12.18;5;20180904;223000;106570.0000000;106600.0000000;106570.0000000;106600.0000000;8
SPFB.RTS-12.18;5;20180904;223500;106600.0000000;106600.0000000;106600.0000000;106600.0000000;8
SPFB.RTS-12.18;5;20180904;224000;106530.0000000;106530.0000000;106470.0000000;106470.0000000;6
SPFB.RTS-12.18;5;20180904;224500;106490.0000000;106540.0000000;106460.0000000;106460.0000000;5
SPFB.RTS-12.18;5;20180904;225000;106450.0000000;106470.0000000;106340.0000000;106340.0000000;14
SPFB.RTS-12.18;5;20180904;225500;106370.0000000;106370.0000000;106370.0000000;106370.0000000;1
SPFB.RTS-12.18;5;20180904;230000;106370.0000000;106370.0000000;106370.0000000;106370.0000000;1
SPFB.RTS-12.18;5;20180904;231000;106510.0000000;106600.0000000;106510.0000000;106550.0000000;9
SPFB.RTS-12.18;5;20180904;231500;106630.0000000;106630.0000000;106630.0000000;106630.0000000;5
SPFB.RTS-12.18;5;20180904;232000;106650.0000000;106650.0000000;106640.0000000;106640.0000000;11
SPFB.RTS-12.18;5;20180904;232500;106640.0000000;106670.0000000;106640.0000000;106670.0000000;22
SPFB.RTS-12.18;5;20180904;233000;106700.0000000;106760.0000000;106700.0000000;106760.0000000;2
SPFB.RTS-12.18;5;20180904;234000;106680.0000000;106680.0000000;106680.0000000;106680.0000000;1
SPFB.RTS-12.18;5;20180905;100500;106550.0000000;106550.0000000;106040.0000000;106110.0000000;29
SPFB.RTS-12.18;5;20180905;101000;106230.0000000;106300.0000000;106200.0000000;106280.0000000;18
SPFB.RTS-12.18;5;20180905;101500;106200.0000000;106250.0000000;106170.0000000;106170.0000000;97
SPFB.RTS-12.18;5;20180905;102000;106160.0000000;106350.0000000;106160.0000000;106350.0000000;8
SPFB.RTS-12.18;5;20180905;102500;106400.0000000;106400.0000000;106250.0000000;106260.0000000;3
SPFB.RTS-12.18;5;20180905;103000;106250.0000000;106250.0000000;106210.0000000;106210.0000000;3
SPFB.RTS-12.18;5;20180905;103500;106300.0000000;106300.0000000;106300.0000000;106300.0000000;1
SPFB.RTS-12.18;5;20180905;104000;106370.0000000;106370.0000000;106370.0000000;106370.0000000;2
SPFB.RTS-12.18;5;20180905;104500;106400.0000000;106400.0000000;106350.0000000;106380.0000000;4
SPFB.RTS-12.18;5;20180905;105000;106430.0000000;106470.0000000;106380.0000000;106380.0000000;6
SPFB.RTS-12.18;5;20180905;105500;106380.0000000;106380.0000000;106330.0000000;106350.0000000;29
SPFB.RTS-12.18;5;20180905;110000;106450.0000000;106450.0000000;106450.0000000;106450.0000000;1
SPFB.RTS-12.18;5;20180905;110500;106550.0000000;106550.0000000;106450.0000000;106450.0000000;3
SPFB.RTS-12.18;5;20180905;111000;106600.0000000;106600.0000000;106600.0000000;106600.0000000;1
SPFB.RTS-12.18;5;20180905;111500;106590.0000000;106590.0000000;106530.0000000;106530.0000000;3
SPFB.RTS-12.18;5;20180905;112000;106420.0000000;106420.0000000;106330.0000000;106330.0000000;7
SPFB.RTS-12.18;5;20180905;112500;106320.0000000;106350.0000000;106250.0000000;106270.0000000;34
SPFB.RTS-12.18;5;20180905;113000;106240.0000000;106240.0000000;106230.0000000;106230.0000000;2
SPFB.RTS-12.18;5;20180905;113500;106280.0000000;106280.0000000;106280.0000000;106280.0000000;1
SPFB.RTS-12.18;5;20180905;114000;106400.0000000;106450.0000000;106390.0000000;106390.0000000;5
SPFB.RTS-12.18;5;20180905;114500;106500.0000000;106500.0000000;106390.0000000;106390.0000000;120
SPFB.RTS-12.18;5;20180905;115000;106430.0000000;106490.0000000;106430.0000000;106490.0000000;20
SPFB.RTS-12.18;5;20180905;115500;106380.0000000;106380.0000000;106380.0000000;106380.0000000;4
SPFB.RTS-12.18;5;20180905;120000;106340.0000000;106340.0000000;106340.0000000;106340.0000000;3
SPFB.RTS-12.18;5;20180905;120500;106350.0000000;106480.0000000;106350.0000000;106480.0000000;5
SPFB.RTS-12.18;5;20180905;121000;106460.0000000;106590.0000000;106460.0000000;106590.0000000;15
SPFB.RTS-12.18;5;20180905;121500;106630.0000000;106700.0000000;106630.0000000;106640.0000000;15
SPFB.RTS-12.18;5;20180905;122000;106700.0000000;106800.0000000;106700.0000000;106790.0000000;81
SPFB.RTS-12.18;5;20180905;122500;106810.0000000;106890.0000000;106810.0000000;106870.0000000;19
SPFB.RTS-12.18;5;20180905;123000;106860.0000000;106880.0000000;106830.0000000;106830.0000000;36
SPFB.RTS-12.18;5;20180905;123500;106860.0000000;106860.0000000;106780.0000000;106780.0000000;6
SPFB.RTS-12.18;5;20180905;124000;106770.0000000;106770.0000000;106700.0000000;106720.0000000;5
SPFB.RTS-12.18;5;20180905;124500;106640.0000000;106640.0000000;106550.0000000;106600.0000000;62
SPFB.RTS-12.18;5;20180905;125000;106600.0000000;106600.0000000;106570.0000000;106570.0000000;2
SPFB.RTS-12.18;5;20180905;125500;106540.0000000;106540.0000000;106520.0000000;106520.0000000;51
SPFB.RTS-12.18;5;20180905;130000;106550.0000000;106570.0000000;106490.0000000;106490.0000000;6
SPFB.RTS-12.18;5;20180905;130500;106600.0000000;106640.0000000;106590.0000000;106640.0000000;55
SPFB.RTS-12.18;5;20180905;131000;106570.0000000;106570.0000000;106570.0000000;106570.0000000;20
SPFB.RTS-12.18;5;20180905;131500;106500.0000000;106500.0000000;106260.0000000;106320.0000000;67
SPFB.RTS-12.18;5;20180905;132000;106310.0000000;106380.0000000;106310.0000000;106380.0000000;3
SPFB.RTS-12.18;5;20180905;132500;106390.0000000;106390.0000000;106300.0000000;106300.0000000;2
SPFB.RTS-12.18;5;20180905;133500;106450.0000000;106450.0000000;106450.0000000;106450.0000000;1
SPFB.RTS-12.18;5;20180905;134000;106430.0000000;106450.0000000;106430.0000000;106450.0000000;10
SPFB.RTS-12.18;5;20180905;134500;106470.0000000;106470.0000000;106470.0000000;106470.0000000;50
SPFB.RTS-12.18;5;20180905;135000;106530.0000000;106550.0000000;106530.0000000;106550.0000000;6
SPFB.RTS-12.18;5;20180905;135500;106500.0000000;106550.0000000;106500.0000000;106550.0000000;14
SPFB.RTS-12.18;5;20180905;140000;106550.0000000;106550.0000000;106550.0000000;106550.0000000;18
SPFB.RTS-12.18;5;20180905;141000;106650.0000000;106760.0000000;106610.0000000;106610.0000000;15
SPFB.RTS-12.18;5;20180905;142000;106710.0000000;106710.0000000;106550.0000000;106550.0000000;4
SPFB.RTS-12.18;5;20180905;143000;106620.0000000;106660.0000000;106620.0000000;106660.0000000;3
SPFB.RTS-12.18;5;20180905;143500;106700.0000000;106700.0000000;106700.0000000;106700.0000000;2
SPFB.RTS-12.18;5;20180905;144000;106630.0000000;106630.0000000;106630.0000000;106630.0000000;1
SPFB.RTS-12.18;5;20180905;144500;106670.0000000;106670.0000000;106670.0000000;106670.0000000;10
SPFB.RTS-12.18;5;20180905;145000;106600.0000000;106680.0000000;106600.0000000;106620.0000000;59
SPFB.RTS-12.18;5;20180905;145500;106700.0000000;106730.0000000;106700.0000000;106730.0000000;6
SPFB.RTS-12.18;5;20180905;150000;106550.0000000;106550.0000000;106550.0000000;106550.0000000;1
SPFB.RTS-12.18;5;20180905;150500;106500.0000000;106570.0000000;106500.0000000;106570.0000000;55
SPFB.RTS-12.18;5;20180905;153000;106700.0000000;106700.0000000;106700.0000000;106700.0000000;1
SPFB.RTS-12.18;5;20180905;154500;106590.0000000;106590.0000000;106540.0000000;106540.0000000;4
SPFB.RTS-12.18;5;20180905;155500;106620.0000000;106620.0000000;106620.0000000;106620.0000000;1
