<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,15,20180905,161500,107630.0000000,107800.0000000,107570.0000000,107660.0000000,7838
SPFB.RTS-9.18,15,20180905,163000,107670.0000000,107670.0000000,107370.0000000,107430.0000000,10964
SPFB.RTS-9.18,15,20180905,164500,107440.0000000,107690.0000000,107240.0000000,107320.0000000,10752
SPFB.RTS-9.18,15,20180905,170000,107320.0000000,107390.0000000,107160.0000000,107170.0000000,10355
SPFB.RTS-9.18,15,20180905,171500,107160.0000000,107330.0000000,107130.0000000,107300.0000000,8591
SPFB.RTS-9.18,15,20180905,173000,107290.0000000,107330.0000000,107060.0000000,107240.0000000,9719
SPFB.RTS-9.18,15,20180905,174500,107230.0000000,107370.0000000,107180.0000000,107290.0000000,7440
SPFB.RTS-9.18,15,20180905,180000,107290.0000000,107310.0000000,107190.0000000,107250.0000000,4672
SPFB.RTS-9.18,15,20180905,181500,107230.0000000,107350.0000000,107150.0000000,107180.0000000,7670
SPFB.RTS-9.18,15,20180905,183000,107170.0000000,107270.0000000,106920.0000000,107190.0000000,18193
SPFB.RTS-9.18,15,20180905,190000,107190.0000000,107280.0000000,107080.0000000,107250.0000000,6607
SPFB.RTS-9.18,15,20180905,191500,107260.0000000,107400.0000000,107210.0000000,107330.0000000,5055
SPFB.RTS-9.18,15,20180905,193000,107320.0000000,107360.0000000,107280.0000000,107300.0000000,5788
SPFB.RTS-9.18,15,20180905,194500,107300.0000000,107400.0000000,107160.0000000,107160.0000000,3548
SPFB.RTS-9.18,15,20180905,200000,107170.0000000,107250.0000000,107130.0000000,107210.0000000,2087
SPFB.RTS-9.18,15,20180905,201500,107210.0000000,107310.0000000,107210.0000000,107270.0000000,1819
SPFB.RTS-9.18,15,20180905,203000,107270.0000000,107310.0000000,107190.0000000,107250.0000000,2294
SPFB.RTS-9.18,15,20180905,204500,107250.0000000,107270.0000000,107180.0000000,107260.0000000,2039
SPFB.RTS-9.18,15,20180905,210000,107260.0000000,107380.0000000,107200.0000000,107290.0000000,3356
SPFB.RTS-9.18,15,20180905,211500,107270.0000000,107400.0000000,107240.0000000,107350.0000000,2209
SPFB.RTS-9.18,15,20180905,213000,107360.0000000,107490.0000000,107340.0000000,107380.0000000,2096
SPFB.RTS-9.18,15,20180905,214500,107390.0000000,107400.0000000,107260.0000000,107350.0000000,1434
SPFB.RTS-9.18,15,20180905,220000,107340.0000000,107370.0000000,107250.0000000,107320.0000000,1816
SPFB.RTS-9.18,15,20180905,221500,107310.0000000,107390.0000000,107230.0000000,107280.0000000,1073
SPFB.RTS-9.18,15,20180905,223000,107280.0000000,107340.0000000,107210.0000000,107280.0000000,1137
SPFB.RTS-9.18,15,20180905,224500,107270.0000000,107330.0000000,107160.0000000,107210.0000000,2447
SPFB.RTS-9.18,15,20180905,230000,107220.0000000,107310.0000000,107210.0000000,107280.0000000,1028
SPFB.RTS-9.18,15,20180905,231500,107290.0000000,107300.0000000,107250.0000000,107280.0000000,581
SPFB.RTS-9.18,15,20180905,233000,107280.0000000,107290.0000000,107180.0000000,107210.0000000,1084
SPFB.RTS-9.18,15,20180905,234500,107220.0000000,107280.0000000,107080.0000000,107130.0000000,1387
